一2542556
衹    125
記 141428
訐    506
討 108614
訌     42
訕    614
訊 448759
託  13330
訓  24678
訖    107
訏     17
訑      7
豈   8616
豺    273
豹   1923
財  17159
貢   6620
起 228817
躬    921
軒   7731
軔    157
軏     20
辱   5389
送  48681
逆   5627
迷  74216
退  28211
迺    435
迴  11557
逃  12414
追  40176
逅    895
迸    178
邕     20
郡    737
郝   2554
郢    155
酒  30999
配  42778
酌   1677
釘   2195
針  14445
釗    421
釜    178
釙     11
閃  11043
院  66835
陣  33507
陡    699
陛    114
陝    113
除  78924
陘     72
陞    328
隻  37091
飢   1161
馬  88333
骨  15411
高 251576
鬥  21013
鬲     22
鬼  25145
乾  22743
偺     16
偽   3301
停  52109
假  65722
偃    188
偌    236
做 186770
偉  25371
健  18841
偶  20103
偎    958
偕    683
偵   5311
側   6237
偷  21994
偏  22239
倏    252
偯     17
偭     10
兜   1756
冕    643
凰 211767
剪   7487
副  14767
勒  10656
務  72387
勘    933
動 256817
匐     51
匏     41
匙   4031
匿   2530
區 169166
匾    127
參  87813
曼   6616
商  59657
啪   9800
啦 177091
啄   1030
啞   1575
啡   6641
啃    807
啊 164734
唱  55158
啖     89
問 601742
啕     83
唯  22782
啤   1619
唸  18426
售  26751
啜    255
唬   6503
啣     87
唳     86
啁     61
啗     25
圈  11114
國 430450
圉     12
域  12877
堅  16523
堊     51
堆  27788
埠    799
埤    194
基  81818
堂  31766
堵   2194
執  55340
培   8712
夠  66056
奢   1210
娶   2236
婁    156
婉   3039
婦   8333
婪    390
婀    107
娼    231
婢    170
婚  22509
婆  17697
婊    585
孰   1286
寇   2036
寅    369
寄  25925
寂  14283
宿  34166
密  33263
尉   2101
專  82677
將 206982
屠   6824
屜    708
屝     26
崇  11545
崆     31
崎   2712
崛    310
崖   1036
崢    363
崑    942
崩   2048
崔   1606
崙    998
崤     10
崧    216
崗   3791
巢   1968
常 185860
帶  76240
帳  22312
帷    222
康  38252
庸   9813
庶    549
庵    302
庾     83
張 134407
強 104347
彗   1066
彬   7594
彩  27044
彫    105
得 521836
徙    371
從 160052
徘   1095
御   1585
徠    267
徜    677
恿    263
患   4650
悉   8090
悠   7625
您 185118
惋    507
悴    579
惦    465
悽    668
情 318027
悻    238
悵   1140
惜  28798
悼   1654
惘   1423
惕    860
惆    616
惟   3771
悸   1929
惚    605
惇     80
戚   3579
戛     40
扈    113
掠   1648
控  32500
捲   6417
掖     56
探  14221
接 137368
捷   7286
捧   3679
掘   1492
措   5145
捱    201
掩   4122
掉  75299
掃   9663
掛  19689
捫    341
推  64630
掄     85
授  30016
掙   2985
採  18061
掬    208
排  61011
掏   1682
掀   1067
捻    214
捩    115
捨   8137
捺    159
敝   7545
敖    326
救  52003
教 245033
敗  40871
啟  25307
敏  18600
敘   4193
敕    388
敔      8
斜   4875
斛     79
斬   3220
族  39730
旋  10992
旌     96
旎     62
晝    874
晚  63237
晤    243
晨   7903
晦   1336
晞    174
曹   4289
勗     31
望 155460
梁   6724
梯   6264
梢    524
梓    828
梵   1390
桿   4638
桶   3607
梱     19
梧    477
梗    272
械  15832
梃     18
棄  22563
梭   3453
梆    180
梅  25172
梔     44
條  59837
梨   1940
梟    510
梡     10
梂     19
欲  28313
殺  60424
毫   9404
毬     57
氫    763
涎    157
涼   8615
淳   1246
淙    133
液   5079
淡  21570
淌    907
淤    481
添   4500
淺  11210
清 302588
淇    855
淋   3413
涯   6964
淑   8887
涮     44
淞     66
淹   2777
涸     95
混  22888
淵   3268
淅    141
淒   2911
渚    442
涵   6870
淚  17323
淫   3296
淘   3120
淪   2550
深  67687
淮    335
淨  11522
淆   1129
淄     22
涪    123
淬    107
涿     19
淦    225
烹    681
焉   2648
焊    851
烽    450
烯    138
爽  32512
牽  11519
犁    187
猜  22272
猛   7890
猖    453
猓     12
猙    165
率  45566
琅    260
琊     26
球 199740
理 286328
現 341466
琍    183
瓠     58
瓶  15600
瓷    760
甜   8051
產  57950
略  23410
畦    123
畢  52670
異  35756
疏   5660
痔    409
痕   5113
疵   1160
痊    570
痍     84
皎    290
盔    680
盒   4860
盛  11909
眷   3326
眾  44803
眼  71058
眶    505
眸   1080
眺   1111
硫    797
硃     67
硎      9
祥   9403
票  67677
祭   3897
移  20647
窒    427
窕   1273
笠    553
笨  20700
笛   5238
第 202411
符  17927
笙    957
笞     42
笮     12
粒   4622
粗   5947
粕     45
絆   1261
絃   2487
統 141769
紮   1535
紹  29836
紼     12
絀     64
細  41672
紳   1115
組  96711
累  18845
終  50989
紲    121
紱      7
缽    220
羞   5666
羚    418
翌    187
翎    415
習  48435
耜      8
聊  34724
聆   1703
脯    153
脖    969
脣     58
脫  16953
脩    114
脰      9
脤     18
舂     32
舵    653
舷     70
舶    199
船  12875
莎   5532
莞    254
莘    691
荸     13
莢     73
莖    935
莽    975
莫  27786
莒    852
莊  14938
莓    868
莉   7901
莠    148
荷   5260
荻    381
荼    549
莆     33
莧     17
處 139649
彪    444
蛇   4671
蛀    505
蚶     10
蛄     19
蚵    670
蛆    178
蛋  22656
蚱    678
蚯    359
蛉     24
術  65266
袞     96
袈     65
被 197413
袒    580
袖   3706
袍   3895
袋   8689
覓   2969
規  52770
訪   9912
訝   3138
訣   2307
訥    387
許 145559
設 125381
訟    456
訛    453
訢    462
豉     17
豚    789
販   4357
責  44701
貫   5585
貨  19754
貪   7044
貧   3291
赧     52
赦   1008
趾    628
趺    112
軛     99
軟  60057
這 986130
逍   2366
通 170230
逗   1843
連 127418
速  80360
逝   7491
逐  10865
逕   1616
逞   1137
造  71032
透  19668
逢  23680
逖    182
逛   8014
途  17088
部 176255
郭  24538
都 493206
酗    332
野  43878
釵   1811
釦     87
釣   7422
釧    243
釭     56
釩     16
閉  10087
陪  10822
陵   5046
陳 125249
陸  34355
陰  14299
陴     25
陶   4648
陷   8555
陬     21
雀   3727
雪  20246
雩    243
章 391052
竟  58426
頂  18957
頃   1803
魚  49608
鳥  46304
鹵    157
鹿   5200
麥  11018
麻  28311
傢   6058
傍   1404
傅   3730
備  80164
傑  16986
傀    723
傖     21
傘   2590
傚     36
最 335527
凱  11739
割   7806
剴     30
創  31835
剩  14066
勞  12873
勝  64825
勛    491
博  39094
厥    573
啻    189
喀    898
喧   2204
啼   1092
喊   9483
喝  22191
喘   1549
喂   5512
喜 146563
喪   4862
喔  92913
喇   7972
喋    185
喃   1418
喳    287
單 116886
喟    148
唾   1685
喲   4049
喚   4432
喻   4122
喬   6151
喱     14
啾    675
喉   1841
喫    175
喙    784
圍  21140
堯   3685
堪   5637
場 160542
堤   1344
堰     41
報 125240
堡   4802
堝     29
堠     24
壹   3679
壺   2933
奠    526
婷   2923
媚   3691
婿    407
媒  13216
媛    631
媧     56
孳     62
孱     36
寒  15884
富  20968
寓   1803
寐    386
尊  22568
尋  36745
就 803921
嵌    219
嵐   6416
崴     96
嵇     17
巽     60
幅   6499
帽  11470
幀     72
幃     59
幾 151638
廊   1755
廁   4874
廂   2307
廄     57
弼    241
彭   5481
復  52921
循   4915
徨   1063
惑  11491
惡  34959
悲  32912
悶   6194
惠  15241
愜    254
愣    746
惺    413
愕    498
惰   1570
惻    172
惴     70
慨   2921
惱   7196
愎    178
惶   1753
愉   7387
愀     23
愒     22
戟    165
扉    471
掣    115
掌  19080
描  10918
揀    539
揩    126
